image,saturation,luminance,contrast,sharpness,rule_of_thirds_gridlines,rule_of_thirds_power_points,diagonal_dominance,entropy,symmetry,horizontal_vertical_line_ration,straight_diagonal_line_ratio
S2_2256.0_47.070034500283896*10.9664199468668.jpg,112.69875812530518,67.03481769561768,219.91176470588235,415.12093729589435,155.0,187.97074240423694,405,5.5214609281735125,142.30084108946133,1,1.0
S2_3384.0_93.4641780473234*48.2134370783724.jpg,155.7750940322876,209.71159172058105,250.2941176470588,774.8885238310261,171.0,97.71898484941399,184,6.914425283283796,125.76399238843533,1.0,1.0
S2_4565.0_66.2808323140469*32.8108225614368.jpg,148.7640562057495,195.52782154083252,236.81372549019608,5814.9987201299,3.5,115.26057435220423,419,7.295547663968019,107.29992148010011,0.2,0.75
S2_2530.0_34.872893361226204*65.477520101797.jpg,109.72056484222412,60.65315341949463,254.76470588235293,3038.7611522629977,42.0,86.97700845625813,1018,6.0531037571772215,64.00084186547485,0.5,0.6
S2_2522.0_-73.60407871706309*71.39111529142771.jpg,8.658905982971191,204.49349784851074,251.98039215686273,3366.9800617047003,15.0,51.61395160225576,1017,6.706323233602921,84.53275371008844,0.6,0.8
S2_886.0_100.32200540767*8.0910372686123.jpg,142.66562366485596,91.90737628936768,253.40196078431373,1232.707434531165,156.0,156.92354826475216,173,6.981156522215907,174.9612701350249,0.6,0.7272727272727273
S2_1909.0_-70.8978048077297*42.7367748325547.jpg,170.860182762146,76.55830764770508,255.0,3282.1614830770995,7.5,77.20103626247513,1019,7.000397858989994,62.82670247411656,0.6666666666666666,1.1363636363636365
S2_1847.0_62.955339613251105*-67.8741226892054.jpg,4.528282165527344,228.39623928070068,240.05882352941177,335.887348863523,88.0,186.06719216455113,171,4.732431557644005,94.56416336261628,0.5882352941176471,1.173913043478261
S2_2457.0_-63.117975054557895*-74.55874763320159.jpg,1.1531991958618164,198.31467151641846,234.31372549019608,1006.746798684004,170.0,227.96929617823537,1011,6.837663226356708,114.91226736630459,0.5263157894736842,1.2083333333333333
S2_968.0_30.905762118273202*3.9987496195117997.jpg,127.46521186828613,83.48541450500488,175.05882352941177,499.4414413931321,4.0,30.265491900843113,348,5.849523176441197,48.12500316688202,0.5454545454545454,1.0303030303030303
S2_2220.0_28.4824493488694*43.647086975119.jpg,231.9464235305786,61.29967021942139,250.99019607843138,585.4416866298066,209.0,269.3566409056959,1022,5.116700952095986,90.89674742950218,0.5217391304347826,1.0606060606060606
S2_214.0_42.7047599207691*0.839917538377733.jpg,140.60929584503174,164.55372714996338,232.43137254901958,915.7286591304387,12.0,8.06225774829855,1013,6.692520706922579,69.57757120843068,0.5833333333333334,1.1176470588235294
S2_1266.0_32.7503381642224*31.095887072203002.jpg,199.81573486328125,95.1784782409668,247.7941176470588,802.054359224737,101.0,250.79872407968904,152,6.840720806202046,52.06004415011038,0.6666666666666666,1.1764705882352942
S2_548.0_142.184084894361*46.0754246682664.jpg,197.1831455230713,59.79674434661865,251.27450980392157,2259.3663222463433,108.0,157.7244432546839,398,5.724746481340563,183.49391048017998,0.5925925925925926,1.2285714285714286
S2_4049.0_-70.3377112480168*44.3142065134805.jpg,197.35919570922852,74.02006530761719,253.40196078431373,1317.8442964524302,29.0,8.06225774829855,1018,5.798061146206867,119.35842699486345,0.6333333333333333,1.1395348837209303
